                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3336,                   2.03,                 1.5246,                0.27438,                0.43806,                0.25043,                0.12976,                 1.6347,                 2.3662,                 1.9666,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.4396,                 1.9783,                 1.6233,                 0.3316,                0.42982,                0.33003,                0.19139,                 1.4324,                 1.9202,                  1.738,             0.00094205,             0.00094205,             0.00094205
                      3,                 1.4327,                 1.9442,                 1.6202,                0.35612,                0.45395,                0.35925,                0.21136,                 1.3602,                 2.0305,                 1.6828,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.3438,                 1.8155,                 1.5646,                0.35342,                0.48145,                0.38756,                0.23221,                 1.3458,                 1.8962,                 1.6593,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2691,                  1.694,                 1.5184,                0.45586,                0.52434,                0.46826,                 0.2969,                 1.2072,                 1.6096,                 1.5549,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2114,                 1.6148,                 1.4723,                0.43801,                0.54765,                0.47261,                0.30626,                 1.1381,                 1.4522,                 1.5049,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1943,                 1.5713,                  1.465,                0.45003,                0.58314,                0.48117,                0.31186,                 1.1595,                 1.4611,                 1.5084,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.1433,                 1.5161,                 1.4239,                0.50496,                0.59769,                0.53311,                0.35589,                 1.0858,                 1.3819,                 1.4525,                0.00133,                0.00133,                0.00133
                      9,                 1.1162,                 1.4447,                 1.4015,                0.47776,                  0.605,                0.52589,                0.35754,                 1.0898,                 1.3515,                 1.4508,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0876,                 1.4172,                 1.3704,                0.51624,                0.61665,                0.56811,                0.38775,                 1.0372,                 1.2604,                 1.4191,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0615,                 1.3773,                 1.3612,                0.54291,                0.61791,                0.58187,                0.40584,                   1.01,                 1.2757,                 1.4026,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0459,                  1.338,                 1.3518,                0.54342,                0.63272,                0.59469,                0.41442,                 1.0121,                 1.2518,                 1.3938,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0208,                 1.3252,                 1.3317,                 0.5388,                0.66409,                 0.6197,                0.44438,                0.95427,                 1.1546,                 1.3371,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0009,                 1.2584,                 1.3102,                0.57606,                0.62971,                0.63547,                0.45711,                0.95762,                 1.1538,                 1.3405,              0.0012451,              0.0012451,              0.0012451
                     15,                0.99007,                 1.2567,                 1.3048,                0.56856,                0.66239,                0.62834,                0.44991,                0.95263,                 1.1481,                 1.3471,              0.0012309,              0.0012309,              0.0012309
                     16,                  0.968,                  1.227,                 1.2955,                0.58114,                0.66467,                 0.6448,                0.46497,                0.94133,                 1.0996,                 1.3338,              0.0012168,              0.0012168,              0.0012168
                     17,                 0.9613,                 1.2068,                 1.2863,                0.56514,                0.65754,                0.62832,                0.45422,                0.93478,                  1.121,                 1.3291,              0.0012026,              0.0012026,              0.0012026
