                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3425,                 2.0518,                 1.5624,                0.26063,                0.40394,                0.25168,                 0.1331,                 1.5542,                 2.4285,                 1.9403,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.4921,                 2.0353,                 1.6967,                0.22288,                 0.4604,                0.23268,                 0.1252,                  1.566,                 2.8815,                 1.9327,             0.00094205,             0.00094205,             0.00094205
                      3,                 1.4996,                 2.0527,                 1.6894,                0.16649,                0.42992,                 0.1326,                0.07404,                  1.708,                  3.331,                 2.0173,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.4265,                 1.9211,                 1.6531,                0.39456,                0.44396,                0.37569,                0.22346,                 1.3225,                 1.7665,                 1.6765,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.337,                 1.7832,                 1.5902,                0.40389,                 0.5328,                0.41316,                0.25178,                 1.3099,                 1.6549,                 1.6595,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2971,                 1.7484,                 1.5668,                0.41623,                0.51625,                0.42078,                0.26668,                 1.2036,                 1.6168,                 1.5872,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2733,                 1.6913,                 1.5463,                0.41414,                0.55964,                 0.4366,                0.27354,                 1.2264,                 1.5532,                 1.5837,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.216,                 1.6264,                 1.5054,                0.44988,                0.60017,                0.47953,                0.31148,                 1.1571,                 1.5133,                 1.5427,                0.00133,                0.00133,                0.00133
                      9,                 1.1925,                 1.5595,                 1.4806,                0.44296,                0.56474,                0.48264,                0.31199,                 1.1587,                 1.4475,                 1.5405,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1466,                 1.5122,                 1.4365,                0.48328,                0.59566,                0.52753,                0.35141,                 1.0933,                  1.386,                 1.4837,              0.0013017,              0.0013017,              0.0013017
