                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3112,                 1.9707,                  1.506,                 1.3388,                 2.2812,                 1.4931,                 0.2333,                0.34686,                0.19519,                0.08955,                 1.8683,                 2.6281,                 2.3155,                 1.8222,                 2.7026,                  2.151,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.4874,                 1.9811,                 1.6557,                 1.5523,                 2.1596,                 1.6518,                0.29467,                0.43738,                 0.2942,                0.16425,                 1.4402,                 2.1569,                 1.7351,                 1.4896,                 2.1843,                  1.758,             0.00094205,             0.00094205,             0.00094205
                      3,                 1.4156,                 1.8751,                 1.6013,                 1.4824,                 2.0434,                 1.6056,                 0.3488,                0.49363,                0.33399,                0.18962,                 1.3576,                 1.9684,                 1.6542,                  1.396,                 2.0752,                 1.6569,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.3518,                 1.7738,                 1.5512,                 1.4207,                 1.9423,                 1.5617,                0.43056,                0.49647,                0.38999,                0.23684,                  1.229,                 1.9057,                  1.529,                 1.2874,                 1.9565,                 1.5501,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2818,                 1.6652,                 1.5008,                 1.3588,                 1.8284,                 1.5149,                0.45129,                0.50815,                0.44659,                0.27919,                 1.1957,                 1.5295,                 1.5137,                 1.2416,                 1.5929,                 1.5294,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.2166,                 1.5664,                 1.4501,                 1.2963,                 1.7069,                 1.4692,                0.44851,                0.57213,                0.44468,                0.28584,                 1.1492,                 1.5406,                  1.478,                 1.2119,                 1.5916,                 1.5093,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.1788,                 1.5298,                 1.4311,                 1.2642,                 1.6538,                 1.4554,                0.49023,                0.57875,                0.52203,                0.34547,                   1.09,                 1.3683,                 1.4104,                 1.1373,                 1.3969,                 1.4403,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.1353,                 1.4789,                 1.4047,                 1.2145,                 1.6092,                 1.4325,                0.48097,                0.58271,                0.50226,                0.33877,                  1.062,                 1.3359,                 1.3832,                 1.1239,                 1.3832,                 1.4253,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.1036,                 1.4501,                 1.3828,                 1.1938,                 1.5896,                 1.4171,                0.48444,                0.58212,                0.52519,                 0.3617,                 1.0229,                 1.3314,                 1.3676,                 1.0755,                 1.3919,                 1.4021,                0.00133,                0.00133,                0.00133
                     10,                 1.0846,                 1.3704,                 1.3512,                 1.1668,                 1.4989,                 1.3793,                0.48779,                0.62967,                0.56433,                0.39258,                 1.0187,                 1.2827,                 1.3545,                 1.0913,                 1.3133,                 1.3873,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.0583,                 1.3358,                 1.3421,                 1.1419,                 1.4556,                 1.3713,                0.52117,                0.59847,                0.54983,                0.38511,                0.97542,                 1.2396,                 1.3357,                 1.0251,                 1.2788,                 1.3534,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.0361,                 1.3281,                 1.3319,                 1.1211,                 1.4425,                 1.3576,                0.54699,                0.61807,                0.57285,                0.39964,                 1.0066,                 1.2306,                 1.3606,                 1.0604,                 1.2617,                 1.3753,              0.0012875,              0.0012875,              0.0012875
