                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3316,                 2.0444,                 1.5322,                0.23508,                0.40418,                0.19031,                0.09887,                 1.6243,                 3.0116,                  1.903,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.4794,                 2.0387,                 1.6678,                0.29412,                0.44565,                0.28022,                0.15715,                 1.4974,                 2.4904,                 1.8232,             0.00094205,             0.00094205,             0.00094205
                      3,                  1.421,                 1.9356,                 1.6201,                0.32375,                0.54771,                0.35752,                0.21024,                 1.3305,                 1.8881,                 1.6556,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.3467,                  1.811,                 1.5732,                0.39601,                0.53395,                0.41132,                0.25906,                 1.2594,                 1.7561,                 1.5784,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2791,                 1.7222,                 1.5214,                0.43778,                0.55509,                0.46033,                0.29525,                 1.2095,                 1.5766,                 1.5295,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2093,                 1.6202,                 1.4704,                0.43303,                0.61396,                0.50182,                0.32909,                 1.1557,                 1.5137,                 1.5068,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1856,                 1.5754,                 1.4588,                0.47085,                 0.5863,                0.48849,                0.32324,                 1.1168,                 1.4361,                 1.4619,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.152,                 1.5258,                 1.4295,                0.46097,                0.62656,                0.50383,                0.33969,                 1.0672,                 1.3893,                 1.4282,                0.00133,                0.00133,                0.00133
                      9,                 1.1129,                 1.4492,                 1.4025,                0.47947,                0.63265,                0.54902,                0.37947,                 1.0308,                 1.3172,                 1.4022,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0831,                 1.4114,                 1.3796,                0.51281,                0.62004,                0.56392,                0.39289,                 1.0498,                 1.2978,                 1.3969,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0663,                 1.3949,                  1.371,                0.53782,                0.64108,                0.58944,                0.42025,                0.98931,                  1.226,                 1.3586,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0441,                 1.3396,                 1.3522,                 0.5558,                0.65339,                0.61153,                0.43444,                0.99405,                 1.1884,                 1.3608,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0304,                 1.3127,                 1.3406,                0.53833,                 0.6547,                0.59891,                0.42902,                0.97951,                 1.2215,                 1.3598,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0092,                 1.2696,                 1.3224,                0.56394,                0.64486,                0.61602,                0.43823,                 0.9814,                 1.1767,                 1.3515,              0.0012451,              0.0012451,              0.0012451
                     15,                  1.008,                  1.267,                 1.3261,                0.54373,                0.65842,                0.60944,                0.43678,                0.97765,                 1.1572,                 1.3614,              0.0012309,              0.0012309,              0.0012309
                     16,                0.99594,                 1.2491,                  1.317,                0.59303,                0.66838,                0.65286,                0.47766,                0.93622,                 1.0973,                 1.3205,              0.0012168,              0.0012168,              0.0012168
                     17,                0.97019,                 1.2014,                 1.2892,                0.57637,                0.66909,                  0.652,                0.47954,                0.93523,                 1.1156,                 1.3023,              0.0012026,              0.0012026,              0.0012026
                     18,                0.94518,                 1.1933,                 1.2792,                0.61107,                0.67014,                0.65647,                0.48619,                0.91446,                 1.1132,                 1.2968,              0.0011885,              0.0011885,              0.0011885
                     19,                0.92641,                  1.171,                 1.2638,                0.61334,                0.66513,                0.67209,                0.49552,                0.91668,                 1.0718,                 1.2943,              0.0011744,              0.0011744,              0.0011744
                     20,                0.91595,                  1.144,                 1.2568,                 0.6356,                 0.6709,                0.67268,                0.49578,                0.89861,                 1.0492,                 1.2875,              0.0011602,              0.0011602,              0.0011602
                     21,                0.91399,                 1.1247,                  1.252,                0.64098,                0.67998,                0.68782,                0.50666,                0.92296,                  1.034,                 1.2976,              0.0011461,              0.0011461,              0.0011461
                     22,                0.89686,                 1.1003,                 1.2347,                 0.6418,                0.66964,                0.69574,                0.51533,                0.90623,                 1.0286,                 1.2824,              0.0011319,              0.0011319,              0.0011319
                     23,                0.89665,                 1.0812,                 1.2375,                0.63958,                0.67353,                0.69972,                0.52089,                0.89333,                 1.0371,                 1.2801,              0.0011178,              0.0011178,              0.0011178
