                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3202,                 1.9946,                 1.5393,                0.26622,                  0.392,                0.22561,                0.11199,                 1.6608,                 2.2064,                 1.9261,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.5189,                 2.0842,                 1.7133,                0.26461,                0.38892,                0.23992,                0.12699,                 1.5833,                 2.5773,                 1.8997,             0.00094205,             0.00094205,             0.00094205
                      3,                 1.4981,                 2.0375,                 1.7013,                0.35078,                0.50967,                0.33946,                 0.1944,                 1.4003,                 1.9243,                 1.7263,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.4289,                 1.9141,                 1.6474,                0.36648,                0.48266,                0.37482,                0.22474,                 1.3037,                 1.8188,                 1.6525,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3675,                 1.8307,                 1.6023,                0.32203,                0.48378,                0.36872,                0.22158,                 1.2906,                 1.9099,                 1.6403,              0.0013724,              0.0013724,              0.0013724
                      6,                  1.309,                 1.7559,                 1.5646,                0.43404,                0.57688,                0.44183,                0.27166,                   1.26,                  1.559,                 1.6228,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.267,                 1.6883,                 1.5306,                0.42925,                0.52288,                0.42416,                0.27072,                  1.191,                 1.5691,                 1.5676,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2135,                  1.615,                 1.4932,                0.44784,                0.58541,                0.48642,                0.31836,                 1.1329,                 1.4679,                 1.5056,                0.00133,                0.00133,                0.00133
                      9,                 1.1872,                  1.567,                 1.4704,                0.48065,                0.57996,                0.48662,                0.32766,                 1.1211,                 1.4333,                 1.4847,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1526,                  1.508,                 1.4378,                0.43734,                0.60154,                0.48634,                0.32653,                 1.0994,                 1.3925,                 1.4799,              0.0013017,              0.0013017,              0.0013017
                     11,                  1.148,                    1.5,                 1.4486,                0.44745,                0.59918,                0.50895,                0.34532,                 1.0829,                 1.3609,                 1.4626,              0.0012875,              0.0012875,              0.0012875
